,joby_s4_2
pax,4
range,241.4
soc,1
battery_capacity,160
pax_mass,100
mass,1815
mtom,2182
length,7.3
wingspan,10.7
wing_area,13
disk_load,45.9
f,1.03
FoM,0.8
cd_0,0.015
cl_max,1.5
ld_max,18
eta_hover,0.65
eta_climb,0.8
eta_descend,0.8
eta_cruise,0.85
min_reserve_soc,20
oswald_efficiency,0.65
vertical_takeoff_velocity,1.5
vertical_landing_velocity,1.5
climb_transition_end_forward_velocity,18
climb_transition_vertical_velocity,1.5
climb_phase_end_forward_velocity,45
climb_phase_vertical_velocity,3.125
cruise_speed,67
descend_phase_end_forward_velocity,36
descend_phase_vertical_velocity,3.8
descend_transition_end_forward_velocity,0
descend_transition_vertical_velocity,3.8
max_vertical_velocity,5
max_horizontal_velocity,89
ground_altitude,0
hover_altitude,15
cruise_altitude,450
time_tug_connection,0
time_tug_disconnection,0
time_pre_take_off_check_list,0
time_rotor_spin_up,5
time_hover_climb,15
time_climb_transition,30
time_climb,65
time_descend,65
time_descend_transition,30
time_hover_descend,15
time_rotor_spin_down,5
time_post_landing_safety_checks,0
ground_taxi_speed,5
time_passenger_embark_disembark,0
time_pre_charging_processes,0
time_charging_plug_disconnection,0
time_post_charging_processes,0
