,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,db_wp0,38.531015,-121.791944,25.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,db_wp1,38.531015,-121.791944,40.0,8.0,8.0,hover_climb,616843.8989690146,1.3707642199311436,2.0,0.0,0.0
2,db_wp2,38.528912,-121.794303,60.0,15.555497062420423,23.55549706242042,climb_transition,309258.58929172216,1.3362975214599078,1.2857191203691447,20.0,221.26802354582065
3,db_wp2-2,38.52649155555555,-121.80000033333333,100.0,28.19836965728972,51.753866719710146,climb_transition,238606.7827434308,1.8689784062599668,1.418521726118991,20.0,241.49724728815994
4,db_wp3,38.523466,-121.807122,150.0,17.89288938149734,69.64675610120749,climb,185720.34689439504,0.9230760063540899,2.794406142794575,39.400000000000006,241.49859998135105
5,db_wp4,38.38036,-122.087745,800.0,582.0555698578759,651.7023259590834,climb,131324.08538784663,21.23275426569095,1.1167318614590607,50.1,237.01597457188825
6,db_wp5,38.226147,-122.277779,600.0,404.9914827179882,1056.6938086770715,descent,87909.45532513541,9.88960573807148,-0.4938375460583896,58.900000000000006,224.09845652197487
7,db_wp6,37.952134,-122.30162,600.0,409.6857597402586,1466.3795684173301,cruise,108404.4138091756,12.33659573072486,0.0,74.54545454545455,183.9247929203981
8,db_wp7,37.898562,-122.246588,600.0,102.85152316771918,1569.2310915850494,cruise,108404.4138091756,3.097099743993734,0.0,74.54545454545455,140.9648962920387
9,db_wp8,37.890161,-122.238391,600.0,20.941028761083718,1590.1721203461332,climb,100367.24725566436,0.583831503181019,0.0,56.300000000000004,142.4018633795589
10,db_wp9,37.880321,-122.244116,500.0,25.781551522981207,1615.9536718691145,descent,145.1038718267955,0.0010391674854684971,-3.878742515199747,46.7,204.6657879431951
11,db_wp9-2,37.8754654117647,-122.2473215882353,350.0,30.441244849337927,1646.3949167184524,descent,60030.353375248815,0.5076107459689524,-4.927525163389052,20.0,207.52492244533207
12,db_wp10,37.874818,-122.247749,330.0,10.0,1656.3949167184524,descent_transition,151291.64469383747,0.42025456859399296,-2.0,8.117730050656878,207.52494663768235
13,db_wp11,37.874212,-122.24916,290.0,20.0,1676.3949167184524,descent_transition,411805.2808256434,2.287807115698019,-2.0,7.049593296450685,241.45019312592618
14,db_wp12,37.874212,-122.24916,260.0,15.0,1691.3949167184524,hover_descent,557864.4660731319,2.324435275304716,-2.0,0.0,0.0
